name,type
Go,Go
Mediterranean Avenue,Property
Community Chest,CommunityChest
Baltic Avenue,Property
Income Tax,Tax
Reading Railroad,Railroad
Oriental Avenue,Property
Chance,Chance
Vermont Avenue,Property
Connecticut Avenue,Property
Jail,Jail
St. Charles Place,Property
Electric Company,Utility
States Avenue,Property
Virginia Avenue,Property
Pennsylvania Railroad,Railroad
St. James Place,Property
Community Chest,CommunityChest
Tennessee Avenue,Property
New York Avenue,Property
Free Parking,FreeParking
Kentucky Avenue,Property
Chance,Chance
Indiana Avenue,Property
Illinois Avenue,Property
B&O Railroad,Railroad
Atlantic Avenue,Property
Ventnor Avenue,Property
Water Works,Utility
Marvin Gardens,Property
Go To Jail,GoToJail
Pacific Avenue,Property
North Carolina Avenue,Property
Community Chest,CommunityChest
Pennsylvania Avenue,Property
Short Line,Railroad
Chance,Chance
Park Place,Property
Luxury Tax,Tax
Boardwalk,Property
