name,cost,baseRent,1house,2house,3house,4house,hotel,houseCost,mortgage
Mediterranean Avenue,60,2,10,30,90,160,250,50,30
Baltic Avenue,60,4,20,60,180,320,450,50,30
Oriental Avenue,100,6,30,90,270,400,550,50,50
Vermont Avenue,100,6,30,90,270,400,550,50,50
Connecticut Avenue,120,8,40,100,300,450,600,50,60
St. Charles Place,140,10,50,150,450,625,750,100,70
States Avenue,140,10,50,150,450,625,750,100,70
Virginia Avenue,160,12,60,180,500,700,900,100,80
St. James Place,180,14,70,200,550,750,950,100,90
Tennessee Avenue,180,14,70,200,550,750,950,100,90
New York Avenue,200,16,80,220,600,800,1000,100,100
Kentucky Avenue,220,18,90,250,700,875,1050,150,110
Indiana Avenue,220,18,90,250,700,875,1050,150,110
Illinois Avenue,240,20,100,300,750,925,1100,150,120
Atlantic Avenue,260,22,110,330,800,975,1150,150,130
Ventnor Avenue,260,22,110,330,800,975,1150,150,130
Marvin Gardens,280,24,120,360,850,1025,1200,150,140
Pacific Avenue,300,26,130,390,900,1100,1275,200,150
North Carolina Avenue,300,26,130,390,900,1100,1275,200,150
Pennsylvania Avenue,320,28,150,450,1000,1200,1400,200,160
Park Place,350,35,175,500,1100,1300,1500,200,175
Boardwalk,400,50,200,600,1400,1700,2000,200,200
